facility_name,address,city,state,zip_code,phone_number,facility_type,type_of_care,regulation_status,capacity,serves_dhs_children,head_start,relief_nursery,qris_stars,location,lon,lat
A Smart Start,2343 Twinberry Ave SE,Salem,OR,97306,5033752536,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,NA,"2343 Twinberry Ave SE Salem, OR 97306",-123.0129129,44.8769584
,1005 7th Street NW,Salem,OR,,5035083282,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,NA,"1005 7th Street NW Salem, OR ",-123.057217,44.94723279999999
Cozy Corner Daycare,6233 13th Ave NE,Keizer,OR,97303,5033333450,Family,Regulated Family Child Care Home,Register,6,Yes,No,No,4,"6233 13th Ave NE Keizer, OR 97303",-123.0162772,45.0106233
Little Village Learning Center,445 High St SE Ste 140,Salem,OR,97301,5033633866,Center,Regulated  Center (not HS),Certified,90,Unknown,No,No,NA,"445 High St SE Ste 140 Salem, OR 97301",-123.0390396,44.9367746
The Research Child Development Center,345 Monmouth Ave N,Monmouth,OR,97361-1329,5038388238,Center,Regulated  Center (not HS),Certified,38,Unknown,No,No,5,"345 Monmouth Ave N Monmouth, OR 97361-1329",-123.2389485,44.8516637
,1194 Margaret St E,Monmouth,OR,97361,5035597650,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,NA,"1194 Margaret St E Monmouth, OR 97361",-123.2224264,44.853849
Happy Face Daycare,14455 Pheasant Hill Ln,McMinnville,OR,97128,9712419667,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,4,"14455 Pheasant Hill Ln McMinnville, OR 97128",-123.2671561,45.2289206
Wendi's Child Care,13001 Schmidt Rd,Sublimity,OR,97383,5039495032,Certified,Regulated Family Child Care Home,Certified,12,Yes,No,No,3,"13001 Schmidt Rd Sublimity, OR 97383",-122.796896,44.863922
YMCA Cummings Elementary School,613 Cummings Ln N,Keizer,OR,97303,5035819622,Center,Regulated  Center (not HS),Certified,30,Yes,No,No,NA,"613 Cummings Ln N Keizer, OR 97303",-123.0341439,44.9899419
Kids on the Block/ Memorial,501 W 14th St,McMinnville,OR,,5034347369,Center,Exempt Center,Exempt,75,Unknown,No,No,NA,"501 W 14th St McMinnville, OR ",-123.1944213,45.2181264
Julia's Child Care,21915 NE Ilafern Ln,Dundee,OR,97115,5035384784,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,NA,"21915 NE Ilafern Ln Dundee, OR 97115",-123.0126955,45.2958711
,7582 Charolais St NE,Keizer,OR,97303,5035802050,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,NA,"7582 Charolais St NE Keizer, OR 97303",-123.011067,45.029292
,258 Village East Way SE,Salem,OR,97317,5033634221,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,NA,"258 Village East Way SE Salem, OR 97317",-122.9766639,44.9265885
Shannon's Day Care,1535 Marshall Dr SE,Salem,OR,97302,5035519598,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,NA,"1535 Marshall Dr SE Salem, OR 97302",-123.0232896,44.9040982
Preescolar Daycare Jalisco,1185 Randall Way,Independence,OR,97351,5038386394,Certified,Regulated Family Child Care Home,Certified,14,Yes,No,No,4,"1185 Randall Way Independence, OR 97351",-123.2019179,44.8483674
,688 Madrona St E,Monmouth,OR,97361,5038380533,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,NA,"688 Madrona St E Monmouth, OR 97361",-123.2281121,44.84657
Roxanne's Child Care,246 W Virginia St,Stayton,OR,97383,5037696816,Certified,Regulated Family Child Care Home,Certified,10,Yes,No,No,NA,"246 W Virginia St Stayton, OR 97383",-122.7954947,44.7998279
Mary's Little Lambs,1695 Longview Way NW,Salem,OR,97304,5035802445,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,NA,"1695 Longview Way NW Salem, OR 97304",-123.0676025,44.9384816
P's & Q's Childcare,2414 Hassell Ct NE,Keizer,OR,97303-1096,5033903558,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,NA,"2414 Hassell Ct NE Keizer, OR 97303-1096",-123.0024022,45.0139488
Monmouth Montessori School LLC,1140 Main St E,Monmouth,OR,97361,5038386478,Center,Regulated  Center (not HS),Certified,20,Unknown,No,No,5,"1140 Main St E Monmouth, OR 97361",-123.2229652,44.8487129
,3231 D St NE Apt 23,Salem,OR,97301,5039903100,Family,Regulated Family Child Care Home,Register,9,Unknown,No,No,2,"3231 D St NE Apt 23 Salem, OR 97301",-122.9947679,44.94405769999999
YMCA-Henry Hill,750 5th St,Independence,OR,97351,5038384042,Center,Regulated  Center (not HS),Certified,45,Yes,No,No,NA,"750 5th St Independence, OR 97351",-123.1912836,44.846949
Head Start of Yamhill County - Newberg,2813 Crestview Dr,Newberg,OR,97132,5034876936,Center,Head Start/Early HS,Certified,40,Unknown,Yes,No,5,"2813 Crestview Dr Newberg, OR 97132",-122.9502633,45.3155924
Kids on the block/ Columbus,1600 SW Fellows St,McMinnville,OR,,5034347369,Center,Exempt Center,Exempt,75,Unknown,No,No,NA,"1600 SW Fellows St McMinnville, OR ",-123.2174929,45.2002281
,1065 Fernwood Ct NW,Salem,OR,97304,5033916082,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,NA,"1065 Fernwood Ct NW Salem, OR 97304",-123.0966713,44.9489947
Auntie M's Child Care,8810 Fruit Farm Rd,Independence,OR,97351,5035073048,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,2,"8810 Fruit Farm Rd Independence, OR 97351",-123.2103003,44.8127988
Salem-Keizer School District Head Start-Fruitland,6425 Fruitland Rd. NE,Salem,OR,97317,5033993148,Center,Head Start/Early HS,Certified,34,Unknown,Yes,No,NA,"6425 Fruitland Rd. NE Salem, OR 97317",-122.9289738,44.9409745
Bridgett's Little Pumpkins Preschool,655 NE Burnett Rd Apt 59,McMinnville,OR,97128,5034352225,Certified,Regulated Family Child Care Home,Certified,4,Unknown,No,No,3,"655 NE Burnett Rd Apt 59 McMinnville, OR 97128",-123.1921986,45.2323921
Maria Perez Guzman Daycare,760 Ivy Ave,Gervais,OR,97026,5038689369,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,3,"760 Ivy Ave Gervais, OR 97026",-122.8988258,45.1119873
Salem Child Development Center,1550 Fairgrounds Rd NE,Salem,OR,97303,5033639821,Center,Regulated  Center (not HS),Certified,180,Yes,No,No,4,"1550 Fairgrounds Rd NE Salem, OR 97303",-123.025836,44.9531458
TLC Child Development Center,15534 E Marquam Rd NE,Mount Angel,OR,97362-9715,5036342760,Center,Regulated  Center (not HS),Certified,26,Unknown,No,No,NA,"15534 E Marquam Rd NE Mount Angel, OR 97362-9715",-122.7430244,45.0714328
Zowie's Kids Club,626 Juntura Way SE,Salem,OR,97302,5034097055,Certified,Regulated Family Child Care Home,Certified,10,Yes,No,No,NA,"626 Juntura Way SE Salem, OR 97302",-123.0427312,44.88453029999999
Lancaster Family Development Center,665 Lancaster Dr SE,Salem,OR,97317-5644,9712400905,Certified,Regulated Family Child Care Home,Certified,13,Yes,No,No,3,"665 Lancaster Dr SE Salem, OR 97317-5644",-122.9820646,44.9207775
Dina's Child Care,580 Joyce St,Woodburn,OR,97071,5034435333,Family,Regulated Family Child Care Home,Register,9,Unknown,No,No,NA,"580 Joyce St Woodburn, OR 97071",-122.8454416,45.1395079
Bud to Blossom Children's School of Discovery Learning,5000 Skyline Rd S,Salem,OR,97306,5035810707,Center,Regulated  Center (not HS),Certified,72,Unknown,No,No,NA,"5000 Skyline Rd S Salem, OR 97306",-123.0690874,44.88312579999999
Country Bumpkins,13071 Killiam Loop NE,Woodburn,OR,,9712398198,Family,Exempt Family Child Care Home,Exempt,2,Unknown,No,No,NA,"13071 Killiam Loop NE Woodburn, OR ",-122.793727,45.13964199999999
,1480 Glazemeadow St,Monmouth,OR,97361,5034097450,Family,Regulated Family Child Care Home,Register,9,Unknown,No,No,NA,"1480 Glazemeadow St Monmouth, OR 97361",-123.2135396,44.8635485
Elena's Day Care,4787 49th Ave NE,Salem,OR,97305,5033042230,Certified,Regulated Family Child Care Home,Certified,11,Yes,No,No,2,"4787 49th Ave NE Salem, OR 97305",-122.9610592,44.9936063
,467 Twilight Ct SE,Salem,OR,97317,5033634038,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,2,"467 Twilight Ct SE Salem, OR 97317",-122.9689492,44.923569
,1393 SW Solomon Ct,Dallas,OR,,9712180826,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,NA,"1393 SW Solomon Ct Dallas, OR ",-123.3357135,44.92539319999999
Canyon Child Care,260 Gardner Ave N,Stayton,OR,,5035694029,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,NA,"260 Gardner Ave N Stayton, OR ",-122.803606,44.7966881
Sweet Pea's Childcare,514 S Center St,Sublimity,OR,97385,5035806825,Certified,Regulated Family Child Care Home,Certified,8,Unknown,No,No,NA,"514 S Center St Sublimity, OR 97385",-122.7939562,44.8257519
Creative Adventures Childcare,5214 Chehalis Dr N,Keizer,OR,97303,9712081309,Certified,Regulated Family Child Care Home,Certified,13,Yes,No,No,4,"5214 Chehalis Dr N Keizer, OR 97303",-123.0368514,45.0005142
A Special Place/ After School,425 N Church St,Silverton,OR,97381,5038732296,Center,Regulated  Center (not HS),Certified,45,Unknown,No,No,NA,"425 N Church St Silverton, OR 97381",-122.7781883,45.0134777
Kids on the Block Newby,1125 W 2nd Street,McMinnville,OR,,5034347369,Center,Exempt Center,Exempt,75,Unknown,No,No,NA,"1125 W 2nd Street McMinnville, OR ",-123.1987163,45.21011619999999
Cammack's Childcare,1430 Shady Ln NE,Keizer,OR,97303,5038517956,Certified,Regulated Family Child Care Home,Certified,12,Yes,No,No,NA,"1430 Shady Ln NE Keizer, OR 97303",-123.0139483,44.9795349
Teddy Bear Day Care,4235 Craig LN SE,Salem,OR,97317,5033781919,Certified,Regulated Family Child Care Home,Certified,6,Unknown,No,No,NA,"4235 Craig LN SE Salem, OR 97317",-122.9771278,44.9233141
Safari Kids Daycare,1414 Golden Ln N,Keizer,OR,97303,5033932755,Certified,Regulated Family Child Care Home,Certified,12,Unknown,No,No,NA,"1414 Golden Ln N Keizer, OR 97303",-123.0475547,45.00212519999999
,392 SE Needham St,Dallas,OR,97338,5039913339,Family,Regulated Family Child Care Home,Register,5,Unknown,No,No,NA,"392 SE Needham St Dallas, OR 97338",-123.311922,44.926403
,390 Moonlight Ave SE,Salem,OR,97302,5033713705,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,NA,"390 Moonlight Ave SE Salem, OR 97302",-123.0490703,44.8963252
,4897 Buffalo DR SE,Salem,OR,97317,5035879141,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,NA,"4897 Buffalo DR SE Salem, OR 97317",-122.9619027,44.9187715
Socorro's Little Friends Daycare,1275 SW Fellows St,McMinnville,OR,97128,9712371875,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,NA,"1275 SW Fellows St McMinnville, OR 97128",-123.2113888,45.20249270000001
,565 Vista Ave SE,Salem,OR,97302,5033914682,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,NA,"565 Vista Ave SE Salem, OR 97302",-123.0416098,44.9116373
Circle of Friends,399 S Water St,Silverton,OR,97381,5036795319,Center,Regulated  Center (not HS),Certified,12,Yes,No,No,NA,"399 S Water St Silverton, OR 97381",-122.7813581,45.0037646
Community Action Head Start- Maple Site,999 Locust St,Salem,OR,97304,5033625434,Center,Head Start/Early HS,Certified,40,Unknown,Yes,No,5,"999 Locust St Salem, OR 97304",-123.0219593,44.96549599999999
Little Steppers Daycare,1683 SW Richard Ct,McMinnville,OR,97128,5035835681,Certified,Regulated Family Child Care Home,Certified,12,Yes,No,No,NA,"1683 SW Richard Ct McMinnville, OR 97128",-123.218207,45.2038559
A Child's Place,3925 Stanley Ln S,Salem,OR,97302,5035105811,Certified,Regulated Family Child Care Home,Certified,10,Unknown,No,No,4,"3925 Stanley Ln S Salem, OR 97302",-123.0565222,44.8991845
Tykes-R-Us,7504 Kayla Shae St NE,Keizer,OR,97303,5039495116,Certified,Regulated Family Child Care Home,Certified,14,Yes,No,No,NA,"7504 Kayla Shae St NE Keizer, OR 97303",-123.010149,45.02805619999999
"Boys & Girls Club of Salem, Marion and Polk Counties - Richmond Extension",466 Richmond Ave SE,Salem,OR,97301,5035817383,Center,Exempt Center,Recorded,40,Unknown,No,No,NA,"466 Richmond Ave SE Salem, OR 97301",-123.0129012,44.9301373
,3000 Dogwood Ave,Newberg,OR,97132,5034876097,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,5,"3000 Dogwood Ave Newberg, OR 97132",-122.9486359,45.31392659999999
,3575 Robert Ave NE,Salem,OR,97301,9712090344,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,NA,"3575 Robert Ave NE Salem, OR 97301",-122.9954909,44.971684
LuLu's Daycare,1700 Tomlin Ave,Woodburn,OR,97071,5039815098,Certified,Regulated Family Child Care Home,Certified,14,Yes,No,No,4,"1700 Tomlin Ave Woodburn, OR 97071",-122.8383915,45.1377744
Buttercup Hill Inc,4515 A Sunnyside Rd SE,Salem,OR,97302,5035811733,Center,Exempt Center,Recorded,93,Unknown,No,No,NA,"4515 A Sunnyside Rd SE Salem, OR 97302",-123.0361541,44.88993989999999
Salem-Keizer Preschools-Hayesville Site,4595 Ward Drive NE,Salem,OR,,5033993148,Center,Exempt Center,Exempt,20,Unknown,No,No,NA,"4595 Ward Drive NE Salem, OR ",-122.9705928,44.9827963
,6905 Hazelgreen Rd NE,Salem,OR,97305,5035599045,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,NA,"6905 Hazelgreen Rd NE Salem, OR 97305",-122.9187889,45.0110858
Willamette ESD Integrated Preschool,2611 Pringle Rd SE,Salem,OR,,5033854675,Center,Exempt Center,Exempt,12,Unknown,No,No,NA,"2611 Pringle Rd SE Salem, OR ",-123.02833,44.9140647
,2785 Hollywood Drive NE,Salem,OR,,9713386986,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,NA,"2785 Hollywood Drive NE Salem, OR ",-122.9770135,44.9624289
Priceless Treasures,962 Leona Ln S,Salem,OR,97302,5035518307,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,5,"962 Leona Ln S Salem, OR 97302",-123.0609213,44.8935055
The Learning Tree Child Care & Preschool,287 E Washington St,Stayton,OR,97383,5037692273,Center,Regulated  Center (not HS),Certified,40,Yes,No,No,NA,"287 E Washington St Stayton, OR 97383",-122.7926241,44.8009348
Busy Feet Daycare,926 Charles St Apt A,Newberg,OR,97132,9718328045,Family,Regulated Family Child Care Home,Register,5,Unknown,No,No,4,"926 Charles St Apt A Newberg, OR 97132",-122.9787433,45.29096699999999
Young Grandma's Wonderland Day Care,4691 Princess Court NE,Salem,OR,,5033708364,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,NA,"4691 Princess Court NE Salem, OR ",-122.979123,44.9896404
Fantastic Daycare,1815 24th St NE,Salem,OR,97301,5034903443,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,NA,"1815 24th St NE Salem, OR 97301",-123.0050974,44.951035
,4266 Cranston St SE,Salem,OR,97317,5033631713,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,NA,"4266 Cranston St SE Salem, OR 97317",-122.9719704,44.9089349
,3037 Alameda St NE,Salem,OR,97301,5033787249,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,NA,"3037 Alameda St NE Salem, OR 97301",-122.9915662,44.9632802
Deanna's Daycare,320 SW Russ Ct,McMinnville,OR,97128,5034724282,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,NA,"320 SW Russ Ct McMinnville, OR 97128",-123.2136055,45.2068476
,3918 Sunnyview Rd NE Apt 105,Salem,OR,97305,5036024617,Family,Regulated Family Child Care Home,Register,8,Yes,No,No,NA,"3918 Sunnyview Rd NE Apt 105 Salem, OR 97305",-122.9842499,44.9538934
Kelsey's Angels Childcare,5275 Joan DR N,Keizer,OR,97303,5036022945,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,NA,"5275 Joan DR N Keizer, OR 97303",-123.0395925,45.0010486
,801 Marion CT,Dayton,OR,97114,5038644067,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,2,"801 Marion CT Dayton, OR 97114",-123.0840847,45.2148593
Melinda Hanes Daycare,1686 Plateau St NE,Salem,OR,97305,5035864733,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,NA,"1686 Plateau St NE Salem, OR 97305",-122.9664537,44.9504384
The Melon Patch,4816 Pullman Ave SE,Salem,OR,97302,5033632636,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,NA,"4816 Pullman Ave SE Salem, OR 97302",-123.0533583,44.8871275
Days With Mary,1914 Brookside Ave NW,Salem,OR,97304,5038515051,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,4,"1914 Brookside Ave NW Salem, OR 97304",-123.0734978,44.9729508
"Yours, Their's and Mine Childcare",1680 17th St NE,Salem,OR,97301,5033612263,Family,Regulated Family Child Care Home,Register,7,Yes,No,No,2,"1680 17th St NE Salem, OR 97301",-123.0120195,44.9509427
Lisa's Child Care,9567 Snoddy Dr,Aumsville,OR,97325,5039308007,Certified,Regulated Family Child Care Home,Certified,15,Yes,No,No,5,"9567 Snoddy Dr Aumsville, OR 97325",-122.864817,44.7910276
,5743 Candy Flower Ct SE,Salem,OR,,5035850556,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,NA,"5743 Candy Flower Ct SE Salem, OR ",-123.0189531,44.8721937
Chehalem Park and Recreation CARE - Mabel Rush School,1441 Deborah Road,Newberg,OR,,5035372909,Center,Exempt Center,Exempt,40,Unknown,No,No,NA,"1441 Deborah Road Newberg, OR ",-122.9507068,45.3104066
Above and Beyond,326 W Hollister St,Stayton,OR,97383,5035079367,Certified,Regulated Family Child Care Home,Certified,12,Yes,No,No,NA,"326 W Hollister St Stayton, OR 97383",-122.7965617,44.80418
All Seasons Daycare,1354 SW Gilorr St,McMinnville,OR,97128,5034727054,Certified,Regulated Family Child Care Home,Certified,5,Unknown,No,No,4,"1354 SW Gilorr St McMinnville, OR 97128",-123.2031523,45.1984287
Community Action Early Head Start/Head Start Independence Site,495 I St,Independence,OR,97351,5038385971,Center,Head Start/Early HS,Certified,28,Unknown,Yes,No,5,"495 I St Independence, OR 97351",-123.1901009,44.8453446
Salem Child Development Center - Dallas Snapdragons,1250 SE Holman Ave,Dallas,OR,97338,5036239044,Center,Regulated  Center (not HS),Certified,36,Unknown,No,No,3,"1250 SE Holman Ave Dallas, OR 97338",-123.304184,44.916446
Rocio's Day Care,725 Hickory St NE,Salem,OR,97301,5033640451,Family,Regulated Family Child Care Home,Register,4,Yes,No,No,2,"725 Hickory St NE Salem, OR 97301",-123.0244657,44.9634996
,4509 Boulder DR SE,Salem,OR,97317,9712396283,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,NA,"4509 Boulder DR SE Salem, OR 97317",-122.9700932,44.9182547
,1132 Mandarin St NE,Keizer,OR,97303,5033040652,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,NA,"1132 Mandarin St NE Keizer, OR 97303",-123.0174413,45.0085341
Salem Child Development Center - Forest Ridge,7905 June Reid Pl NE,Keizer,OR,97303,5033639821,Center,Regulated  Center (not HS),Certified,75,Unknown,No,No,2,"7905 June Reid Pl NE Keizer, OR 97303",-123.0198241,45.0337363
Abuela's Daycare Aprendiendo Jugando,1754 Winchester St NW,Salem,OR,97304,5035400355,Certified,Regulated Family Child Care Home,Certified,12,Yes,No,No,3,"1754 Winchester St NW Salem, OR 97304",-123.0683584,44.9688422
,970 Alberta Ave,Monmouth,OR,97361,5038384378,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,3,"970 Alberta Ave Monmouth, OR 97361",-123.2240089,44.8516639
,4885 Center St NE,Salem,OR,97301,5035668360,Family,Regulated Family Child Care Home,Register,2,Yes,No,No,3,"4885 Center St NE Salem, OR 97301",-122.9638454,44.9403461
,1420 Shady Ln NE,Keizer,OR,97303,5033048858,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,NA,"1420 Shady Ln NE Keizer, OR 97303",-123.0142457,44.9794383
Carolyn's Childcare,647 NW 18th Pl,McMinnville,OR,97128,5034344384,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,2,"647 NW 18th Pl McMinnville, OR 97128",-123.2051161,45.221367
Garcia Day Care,984 Vinyard Ave NE,Salem,OR,97301,5038512364,Family,Regulated Family Child Care Home,Register,9,Yes,No,No,NA,"984 Vinyard Ave NE Salem, OR 97301",-122.9948542,44.9430942
Grandma Twila's Tots Day Care Preschool,115 E 9th St,Newberg,OR,97132,5035503334,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,NA,"115 E 9th St Newberg, OR 97132",-122.9781089,45.293027
"West Hills Child Care and PreSchool, LLC",2355 NW West Hills Dr,McMinnville,OR,97128,5034352092,Certified,Regulated Family Child Care Home,Certified,10,Unknown,No,No,NA,"2355 NW West Hills Dr McMinnville, OR 97128",-123.232207,45.21050930000001
Catherine's Preschool and Daycare,1150 SW Fairview Avenue,Dallas,OR,,5036237935,Family,Exempt Family Child Care Home,Exempt,2,Unknown,No,No,NA,"1150 SW Fairview Avenue Dallas, OR ",-123.3248685,44.9177939
,3652 Sunnyview Rd NE,Salem,OR,97305,5033657781,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,3,"3652 Sunnyview Rd NE Salem, OR 97305",-122.9880379,44.9537159
Tinkertots,1705 Gemini St,Newberg,OR,97132,5035388186,Family,Regulated Family Child Care Home,Register,4,Yes,No,No,NA,"1705 Gemini St Newberg, OR 97132",-122.9439552,45.3127788
,3351 SE Locks Road,Dayton,OR,,5038644918,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,NA,"3351 SE Locks Road Dayton, OR ",-123.1004385,45.2352503
Crib Midget Day Care,1015 Evergreen Dr,Independence,OR,97351,5037980626,Certified,Regulated Family Child Care Home,Certified,15,Yes,No,No,2,"1015 Evergreen Dr Independence, OR 97351",-123.1875324,44.8447013
,903 N Front St,Woodburn,OR,97071-3217,5039518152,Family,Regulated Family Child Care Home,Register,7,Yes,No,No,2,"903 N Front St Woodburn, OR 97071-3217",-122.8528692,45.1457102
Marla's Little Munchkins,5265 Mac St SE,Salem,OR,97306,5033397935,Certified,Regulated Family Child Care Home,Certified,12,Yes,No,No,NA,"5265 Mac St SE Salem, OR 97306",-123.0241019,44.878156
Happy Owls Daycare and Learning Center,2704 Bald Eagle Ave NW,Salem,OR,97304,5035593236,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,NA,"2704 Bald Eagle Ave NW Salem, OR 97304",-123.0866816,44.9418713
,100 S 16th ST,Independence,OR,97351,5039913910,Family,Regulated Family Child Care Home,Register,9,Unknown,No,No,NA,"100 S 16th ST Independence, OR 97351",-123.2096795,44.8553726
Salem Christian Academy,1746 Davis Rd S,Salem,OR,97306,5036891622,Center,Regulated  Center (not HS),Certified,38,Unknown,No,No,4,"1746 Davis Rd S Salem, OR 97306",-123.0689267,44.8719233
,5068 Robindale Dr N,Keizer,OR,97303-5342,5039914575,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,NA,"5068 Robindale Dr N Keizer, OR 97303-5342",-123.031902,44.9986611
,4825 Bayne St NE,Salem,OR,97305,5035515773,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,NA,"4825 Bayne St NE Salem, OR 97305",-122.9572107,44.9944672
,3765 Beverly Ave NE Apt 2,Salem,OR,97305,5035596470,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,NA,"3765 Beverly Ave NE Apt 2 Salem, OR 97305",-122.9864503,44.9615452
Busy Bee's Childcare,307 N Harrison St,Newberg,OR,97132,5038880629,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,NA,"307 N Harrison St Newberg, OR 97132",-122.9824697,45.3024228
,1304 BARCLAY WAY,NEWBERG,OR,97132,5035383873,Family,Regulated Family Child Care Home,Register,5,Unknown,No,No,NA,"1304 BARCLAY WAY NEWBERG, OR 97132",-122.9673819,45.3101045
,3086 Alameda St NE,Salem,OR,97301,9714449641,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,NA,"3086 Alameda St NE Salem, OR 97301",-122.9910586,44.9642993
Salem Child Development Center-Liberty Gardens,304 Hrubetz Rd SE,Salem,OR,97302,5039906460,Center,Regulated  Center (not HS),Certified,100,Yes,No,No,2,"304 Hrubetz Rd SE Salem, OR 97302",-123.0521248,44.8889917
Patty Cake Praise,481 Sunset Ave N,Keizer,OR,97303,5039990347,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,NA,"481 Sunset Ave N Keizer, OR 97303",-123.0314271,44.9843584
SKEF Eagle Academy,999 Locust St,Salem,OR,97301,5033642933,Center,Regulated  Center (not HS),Certified,30,Unknown,No,No,2,"999 Locust St Salem, OR 97301",-123.0219593,44.96549599999999
SKEF Enrichment Academy - Englewood,1132 19th St NE,Salem,OR,97301,5033642933,Center,Regulated  Center (not HS),Certified,45,Unknown,No,No,2,"1132 19th St NE Salem, OR 97301",-123.0112169,44.9456914
V's Full Service Daycare,5485 Red Leaf Dr S,Salem,OR,97306,5038511363,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,NA,"5485 Red Leaf Dr S Salem, OR 97306",-123.0707715,44.8758527
Stinky Feet Childcare,111 S 3rd St,Independence,OR,97351,5038512120,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,2,"111 S 3rd St Independence, OR 97351",-123.1872145,44.8528113
Felisa Lopez Martinez Childcare,1041 SW Myrtle CT,McMinnville,OR,97128,9712371920,Certified,Regulated Family Child Care Home,Certified,12,Yes,No,No,NA,"1041 SW Myrtle CT McMinnville, OR 97128",-123.2291643,45.2015071
St Joseph Extended Care Program,373 Winter St NE,Salem,OR,97301-3833,5035099448,Center,Regulated  Center (not HS),Certified,30,Unknown,No,No,NA,"373 Winter St NE Salem, OR 97301-3833",-123.0313468,44.9415405
Cougar Club,420 S 3rd St,Carlton,OR,97111,5038524405,Center,Regulated  Center (not HS),Certified,23,Unknown,No,No,NA,"420 S 3rd St Carlton, OR 97111",-123.171741,45.290889
A Family Place,125 SE Cowls St,McMinnville,OR,97128,5034724020,Center,Regulated  Center (not HS),Certified,26,Unknown,No,Yes,2,"125 SE Cowls St McMinnville, OR 97128",-123.197246,45.2082989
Salem Child Development Center - Chavez Latchkey,2400 Walker Rd NE,Salem,OR,97305,5033639821,Center,Regulated  Center (not HS),Certified,30,Unknown,No,No,2,"2400 Walker Rd NE Salem, OR 97305",-122.9611694,44.95924309999999
Salem Child Development - Battle Creek,1640 Waln Drive SE,Salem,OR,97306,5033639821,Center,Regulated  Center (not HS),Certified,75,Yes,No,No,2,"1640 Waln Drive SE Salem, OR 97306",-123.0264895,44.86395770000001
Salem Child Development Center- Myers,2160 Jewel St NW,Salem,OR,97304,5039305346,Center,Regulated  Center (not HS),Certified,60,Unknown,No,No,2,"2160 Jewel St NW Salem, OR 97304",-123.0764885,44.9456081
Precious Cargo Preschool & Childcare,2921 Church St SE,Salem,OR,97302,5419611149,Certified,Regulated Family Child Care Home,Certified,13,Yes,No,No,5,"2921 Church St SE Salem, OR 97302",-123.040903,44.9121749
Play and Learn Daycare Center,600 Sitka Ave,Newberg,OR,97132,5035387417,Center,Regulated  Center (not HS),Certified,92,Yes,No,No,2,"600 Sitka Ave Newberg, OR 97132",-122.9586666,45.3043426
,1418 E Lincoln Street,Woodburn,OR,,5039896482,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,NA,"1418 E Lincoln Street Woodburn, OR ",-122.8398777,45.14264000000001
