Facility Name,Address,City,State,Zip Code,Phone Number,Facility Type,Type of Care,Regulation Status,Capacity,Serves DHS Children,Head Start,Relief Nursery,QRIS Stars
Little Hands Garden School Woodstock,7802 SE Woodstock Blvd,Portland,OR,97206,5034815712,Center,Exempt Center,Recorded,12,Unknown,No,No,.
,2135 SE 122nd Ave Apt 4,Portland,OR,97233-1345,5037409557,Family,Regulated Family Child Care Home,Register,5,Unknown,No,No,.
Casa Feliz,8813 NE Wygant St,Portland,OR,97220-4737,5032504490,Certified,Regulated Family Child Care Home,Certified,13,Unknown,No,No,.
,5210 SE 33rd Pl,Portland,OR,97202,5037711579,Family,Regulated Family Child Care Home,Register,3,Unknown,No,No,.
,12105 SE Holgate Blvd Apt 131,Portland,OR,97266-2198,9713312094,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
,11736 SE Insley St,Portland,OR,97266-3261,5037602024,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
,3369 SE 115th Ave,Portland,OR,97266,9714002043,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Gresham City Learning Center Infant Cottage,105 NW 2nd St,Gresham,OR,97030-7223,5035158595,Center,Regulated  Center (not HS),Certified,9,Unknown,No,No,.
,18215 SE Pine St Apt 101,Portland,OR,97233-4975,5039547356,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,.
Sunnyside Mennonite Montessori School,1312 SE 35th Ave,Portland,OR,97214,9712660701,Center,Exempt Center,Recorded,20,Unknown,No,No,.
,9404 N Lombard St,Portland,OR,97203,5037576549,Family,Regulated Family Child Care Home,Register,8,Yes,No,No,.
Heart in Hand Preschool LLC,5405 NE 30th Ave,Portland,OR,97211,5032874465,Certified,Regulated Family Child Care Home,Certified,12,Unknown,No,No,.
Alder Montessori,17200 SE Alder St,Portland,OR,97233-4260,5032554673,Center,Regulated  Center (not HS),Certified,25,Unknown,No,No,2
,3217 SE 138th Avenue,Portland,OR,,5109048618,Family,Exempt Family Child Care Home,Exempt,2,Unknown,No,No,.
Friendship Daycare,2991 SE 4th St,Gresham,OR,97080-1484,5037404974,Certified,Regulated Family Child Care Home,Certified,12,Yes,No,No,.
,21001 SE Yamhill St,Gresham,OR,97030,5038307672,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,2
Mary's Loving Care,14115 NE Fremont,Portland,OR,97230-3609,5038161377,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Peace Tree School 2,5406 NE 13th Ave,Portland,OR,97211-4307,5037500952,Certified,Regulated Family Child Care Home,Certified,14,Unknown,No,No,.
,8504 SE Raymond Ct Apt B,Portland,OR,97266-3170,5037405645,Family,Regulated Family Child Care Home,Register,2,Unknown,No,No,.
,3010 NE 24th St,Gresham,OR,97030,7026881407,Family,Regulated Family Child Care Home,Register,5,Unknown,No,No,.
Mt Hood Community College - Davis,19501 NE Davis St,Portland,OR,97230-8035,9713035332,Center,Head Start/Early HS,Certified,20,Unknown,Yes,No,.
Garden Home Montessori School,4861 SE 66th Ave,Portland,OR,97206-4507,5038964741,Certified,Regulated Family Child Care Home,Certified,11,Unknown,No,No,.
April's Bilingual Daycare,4381 NE 133rd Ave,Portland,OR,97230,5035721821,Family,Regulated Family Child Care Home,Register,8,Yes,No,No,.
Little Footsteps Learning Center,19125 NE Clackamas St,Portland,OR,97230-7568,5035454094,Certified,Regulated Family Child Care Home,Certified,13,Yes,No,No,.
"Nuestro Jardin Academy, Spanish Immersion Preschool, LLC",1545 NE Sandy Blvd,Portland,OR,97232-3090,9712668632,Center,Regulated  Center (not HS),Certified,30,Unknown,No,No,.
,6936 NE Killingsworth St Apt 2,Portland,OR,97218,5038054195,Family,Regulated Family Child Care Home,Register,9,Yes,No,No,.
Second Home Daycare,14226 SE Alder St,Portland,OR,97233-2244,5418708679,Certified,Regulated Family Child Care Home,Certified,12,Yes,No,No,.
Happy Child Day Care,4007 NE 12th Avenue,Portland,OR,,5032877172,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
Amazing Minds Learning Center 2 By Goodman Family Childcare LLC,1244 SE 214th Ave,Gresham,OR,97030-3418,5033494262,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,4
,2266 SE 171st Ave,Portland,OR,97233-4480,5039022125,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Bethel Arts Preschool,7220 SE Duke Street,Portland,OR,,5035605448,Center,Exempt Center,Exempt,20,Unknown,No,No,.
,13818 NE Rose Pkwy,Portland,OR,97230,9713223577,Family,Regulated Family Child Care Home,Register,4,Unknown,No,No,.
,13852 SE Henry St,Portland,OR,97236,5038673613,Family,Regulated Family Child Care Home,Register,1,Unknown,No,No,.
Linda's Teddy Bear Daycare,1015 SE 155th Street,Portland,OR,,5032554373,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
Paper Crane Learning Center,9316 SE Salmon Ct,Portland,OR,97216-2110,8044508362,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
Peace Tree School 3,5901 NE 12th Ave,Portland,OR,97211-4221,5037500952,Certified,Regulated Family Child Care Home,Certified,14,Unknown,No,No,.
Our House Child Care Center,3405 SW Alice st,Portland,OR,97219,5038105438,Center,Regulated  Center (not HS),Certified,40,Yes,No,No,2
Little Worlds,28800 SE WK Anderson Rd,Gresham,OR,97080-8958,5037042044,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
Little Professors Preschool,21534 SE Oak St,Gresham,OR,97030,5034913208,Certified,Regulated Family Child Care Home,Certified,12,Yes,No,No,.
J Jackson Family Child Care,14221 E Burnside St,Portland,OR,97233-2135,5035011060,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
Lane Head Start,7200 SE 60th Ave,Portland,OR,97206-7532,5039163170,Center,Head Start/Early HS,Certified,74,Unknown,Yes,No,5
Pine Village School LLC,8825 NE Tillamook St,Portland,OR,97220,5036792046,Certified,Regulated Family Child Care Home,Certified,12,Unknown,No,No,.
Paper Moon Playschool LLC,1322 NE Liberty St,Portland,OR,97211-4154,9179689117,Certified,Regulated Family Child Care Home,Certified,8,Unknown,No,No,.
Arleta Elementary School - YMCA,5109 SE 66th Ave,Portland,OR,97206-4571,5033270007,Center,Regulated  Center (not HS),Certified,45,Yes,No,No,2
Cairo Academy,1400 SE 135th Ave,Portland,OR,97233-1729,5032566500,Center,Regulated  Center (not HS),Certified,23,Unknown,No,No,2
Little Fishes Preschool,2477 SW Cherry Park Rd,Troutdale,OR,97060-2933,5036613370,Center,Exempt Center,Recorded,40,Unknown,No,No,.
Scuola Italiana di Portland,1542 NW 14th Ave,Portland,OR,97209-2576,9712700470,Center,Exempt Center,Recorded,10,Unknown,No,No,.
,2426 NW 217th Ave,Gresham,OR,97030-2462,5037173693,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Wild Portland Nature Care,6416 N Campbell Ave,Portland,OR,97217-4917,5039984038,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,.
,4054 SW Brixton Ave,Gresham,OR,97080-8637,9712952771,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
,1636 NE 119th Ave,Portland,OR,97220,5037509979,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
,3315 SE 167th Ave,Portland,OR,97236,5035758135,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
,8328 SE Sherrett St,Portland,OR,97266-6554,5034460073,Family,Regulated Family Child Care Home,Register,7,Yes,No,No,.
Kaiel Montessori,5415 SE Powell Blvd,Portland,OR,97206,5035455163,Center,Regulated  Center (not HS),Certified,10,Unknown,No,No,.
"Gresham City Learning Center, Inc 3",121 NW 1st St,Gresham,OR,97030-7215,5036611273,Center,Regulated  Center (not HS),Certified,30,Unknown,No,No,.
Shaver Teaching Preschool at Shaver Elementary,3701 NE 131st Pl,Portland,OR,97230-2838,5034082850,Center,Regulated  Center (not HS),Certified,20,Unknown,No,No,5
Aprende con Amigos/Irvington,2036 NE Martin Luther King Blvd,Portland,OR,97212,5032870937,Center,Regulated  Center (not HS),Certified,45,Unknown,No,No,.
,17255 NE Wasco St,Portland,OR,97230,5039017587,Family,Regulated Family Child Care Home,Register,5,Yes,No,No,.
Love Bugs,1106 SE 208th Ave,Gresham,OR,97030,5037035652,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,.
"ES Children's Garden OpCo, LLC",1405 SW Morrison St,Portland,OR,97205,5032282443,Center,Regulated  Center (not HS),Certified,140,Yes,No,No,2
MLK Jr. Peninsula Children's Learning Center,4906 NE 6th Ave,Portland,OR,97211,5033090290,Center,Regulated  Center (not HS),Certified,30,Unknown,No,No,2
Grout Head Start,3119 SE Holgate Ave,Portland,OR,97202,5039169711,Center,Head Start/Early HS,Certified,40,Unknown,Yes,No,5
Uno Dos Tres Academy St Johns,5507 N Lombard St,Portland,OR,97203-4221,9712757512,Center,Regulated  Center (not HS),Certified,48,Unknown,No,No,.
Lupine Mountain School,4536 NE 116th Ave,Portland,OR,97220-1419,5034894498,Center,Exempt Center,Recorded,20,Unknown,No,No,.
Today's Little Scholars Child Care,100 N Killingsworth St,Portland,OR,97217,8003858594,Center,Regulated  Center (not HS),Certified,20,Unknown,No,No,.
Sweet Day Community School,5023 SE Kelly St,Portland,OR,97206-2131,9715334775,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,.
,3350 SE 115th Ave Apt 5,Portland,OR,97266,9713407036,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
Reynolds Learning Academy - Early Head Start,20234 NE Halsey St,Fairview,OR,97024-9738,5036674673,Center,Head Start/Early HS,Certified,8,Unknown,Yes,No,.
,18517 SE Lincoln St,Portland,OR,97233-5655,5033808329,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
Little Disciples Preschool & Child Care,10608 SW 64th Dr,Portland,OR,97219-6667,5033677941,Family,Regulated Family Child Care Home,Register,9,Unknown,No,No,.
,17112 SE Naegeli Dr Apt 1,Portland,OR,97236-1396,5038042258,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
,332 NE 188th Ave,Portland,OR,97230-7612,5037809427,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
Head Start - (PPS) Whitman,7326 SE Flavel Street,Portland,OR,,5039165724,Center,Head Start/Early HS,Exempt,40,Unknown,Yes,No,.
,13400 SE Stark St Apt 6,Portland,OR,97233-1870,5035010280,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
,24240 NE Holladay St,Wood Village,OR,97060-2937,9713310759,Family,Regulated Family Child Care Home,Register,8,Yes,No,No,.
,4622 SE Anderegg Loop,Portland,OR,97236-9391,4178278717,Family,Regulated Family Child Care Home,Register,2,Unknown,No,No,.
,1440 NE 223rd Ave Unit 71,Wood Village,OR,97060-2629,5413800401,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
,1160 SW McGinnis Ct,Troutdale,OR,97060-1400,9712229804,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
,13920 SE Sherman Ct,Portland,OR,97233-5276,9719989154,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
Little Scholars Academy John's Landing,0244 SW Dakota St,Portland,OR,97239-3549,5033295473,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,.
Earl Boyles Elementary,10822 SE Bush St,Portland,OR,97266-2321,5032566554,Center,Regulated  Center (not HS),Certified,51,Unknown,No,No,.
,3027 SE Condor Ave,Gresham,OR,97080-9080,5036792759,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
,18310 SE Pine St Apt 2,Portland,OR,97233-4895,5035160261,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
,20140 NE Sandy Blvd Unit 7,Fairview,OR,97024-9741,9713527694,Family,Regulated Family Child Care Home,Register,9,Unknown,No,No,.
,16416 SE Main St,Portland,OR,97233-4043,9716780627,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
,10915 SE Bush St,Portland,OR,97266-2206,9717017785,Family,Regulated Family Child Care Home,Register,8,Yes,No,No,.
,120 SE 188th Ave Apt 13,Portland,OR,97233-5301,5037560253,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
,254 NE 192nd Ave,Portland,OR,97230-7814,9712801097,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
,4100 SE 72nd Ave,Portland,OR,97206-3446,5039364676,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
,2424 SE Evans Ave,Troutdale,OR,97060-2328,5038051405,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
"Wonderful Little Face Too, LLC",2324 NE 7th Ave,Portland,OR,97212-3813,5039350120,Certified,Regulated Family Child Care Home,Certified,12,Yes,No,No,.
Chrysalis Family Support and Childcare,7419 SE 13th Ave,Portland,OR,97202-5923,5032341599,Certified,Regulated Family Child Care Home,Certified,6,Unknown,No,No,.
"Happy Days Preschool, LLC",6025 NE Simpson St,Portland,OR,97218,5033059385,Certified,Regulated Family Child Care Home,Certified,12,Yes,No,No,.
Petit a Petit,6804 N Campbell Ave,Portland,OR,97217-532,9719987607,Certified,Regulated Family Child Care Home,Certified,12,Unknown,No,No,.
Portland Play Project,6015 NE Skidmore St,Portland,OR,97218-2225,7405909141,Certified,Regulated Family Child Care Home,Certified,12,Yes,No,No,.
Wow & Flutterville Hazelnut Hollow,5224 NE 20th Ave,Portland,OR,97211-5635,5033331067,Certified,Regulated Family Child Care Home,Certified,12,Yes,No,No,.
,4325 SE 79th Ave,Portland,OR,97206-3308,5035449084,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
Gresham Child Care Academy,3600 SW Brittany Dr,Gresham,OR,97080-8314,5037645267,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,.
Irina Drobysheva,2088 SW Thomas Pl,Gresham,OR,97080-6423,9714013459,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
Albina Early Head Start - Franklin High School,5405 SE Woodward St,Portland,OR,97206-2168,5039165140,Center,Head Start/Early HS,Certified,16,Unknown,Yes,No,5
Applegate Early Head Start,7650 N Commercial Ave,Portland,OR,97217-1468,5037524237,Center,Head Start/Early HS,Certified,12,Unknown,Yes,No,.
Atlas Immersion Academy Hawthorne - Les Petits,1211 SE 37th Ave,Portland,OR,97214-4311,9712389838,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,.
Beaumont Preschool,4039 NE 40th Ave,Portland,OR,97212,5037547501,Certified,Regulated Family Child Care Home,Certified,12,Unknown,No,No,.
Berry  I Meman,10706 SW Capitol Hwy Apt 13,Portland,OR,97219-6873,5038755024,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
"Blooming Rose Preschool, LLC",6735 N Atlantic Ave,Portland,OR,97217-5035,5037303441,Certified,Regulated Family Child Care Home,Certified,15,Unknown,No,No,.
Carrie's Learning Center,222 NE 162nd Ave Apt 21,Portland,OR,97230-5478,5039643301,Certified,Regulated Family Child Care Home,Certified,9,Yes,No,No,.
Ladybugs Childcare,6903 N Williams Ave,Portland,OR,97217-1753,5037543409,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
Little Hands Garden School Salmon Street,3942 SE Salmon St,Portland,OR,97214-4433,5034815189,Certified,Regulated Family Child Care Home,Certified,13,Unknown,No,No,.
Mill Park Elementary,1900 SE 117th Ave,Portland,OR,97216-3906,5032566507,Center,Regulated  Center (not HS),Certified,40,Unknown,No,No,4
Mt Hood Community College Head Start - Gethsemane,11560 SE Market St,Portland,OR,97216-3911,5034916111,Center,Head Start/Early HS,Certified,20,Unknown,Yes,No,5
Mt Hood Community College Head Start - Troutdale,27000 SE Stark St,Troutdale,OR,97060-8426,5034916111,Center,Head Start/Early HS,Certified,40,Unknown,Yes,No,5
Multitude of Mercies,4801 NE 19th Ave,Portland,OR,97211-5811,5035761920,Center,Regulated  Center (not HS),Certified,62,Yes,No,No,.
My Bundle of Joy SW Home,7909 SW Crestline Dr,Portland,OR,97219-4638,5033299473,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,.
Peace Tree School 4,5226 N Commercial Ave,Portland,OR,97217-2654,5037500952,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,.
Peninsula Children's Learning Center-Faubion,2930 NE Dekum St,Portland,OR,97211-6613,5034847393,Center,Regulated  Center (not HS),Certified,50,Yes,No,No,.
Slavic Christian Academy,10603 SE Henderson St,Portland,OR,97266-8004,9712027284,Center,Regulated  Center (not HS),Certified,20,Yes,No,No,.
Small Wonders School - Grant Park,2728 NE 34th Ave,Portland,OR,97212-2701,5036478724,Center,Regulated  Center (not HS),Certified,60,Unknown,No,No,.
,635 SE 162nd Ave,Portland,OR,97233-3903,5039359123,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
Specialty Care,2328 NE Highland St,Portland,OR,97211-5373,5037526876,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,.
Village Babies,3824 N Michigan Ave,Portland,OR,97227-1149,9718884155,Certified,Regulated Family Child Care Home,Certified,6,Unknown,No,No,.
The Dandy Lions Preschool,3415 NE 64th Ave,Portland,OR,97213-4529,5039293114,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
The Homestead Schoolhouse - Annex,4033 SE Woodstock Blvd,Portland,OR,97202-7661,5034905668,Center,Regulated  Center (not HS),Certified,23,Unknown,No,No,.
Tulip Tree Preschool - Elm House,2911 SE 67th Ave,Portland,OR,97206-1937,5039530622,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,.
Wow & Flutterville Playopolis,6612 N Haight Ave,Portland,OR,97217-1918,2068179881,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,.
Wow and Flutterville Global Playgarden,8722 SE 17th Ave,Portland,OR,97202-7331,5037308674,Center,Regulated  Center (not HS),Certified,39,Yes,No,No,2
XSTREAM Learning Center,2057 NW Miller Rd,Portland,OR,97229-7515,5033308781,Center,Regulated  Center (not HS),Certified,15,Unknown,No,No,.
YMCA - Holladay Park Church,2120 NE Tillamook St,Portland,OR,97212-4635,5038492113,Center,Regulated  Center (not HS),Certified,75,Unknown,No,No,.
YMCA - Woodmere,7900 SE Duke St,Portland,OR,97206-6337,5038492113,Center,Regulated  Center (not HS),Certified,15,Unknown,No,No,.
,10421 NE Hoyt St,Portland,OR,97220-4018,5039149867,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
,2044 SE 174th Ave,Portland,OR,97233,5034817600,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
,620 NE 113th Ave,Portland,OR,97220-2202,5039572886,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
,17770 E Burnside St Apt 102A,Portland,OR,97233-4890,9713259978,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
,3560 NE Polo Ln,Fairview,OR,97024-6767,5033811167,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
,18149 SE Ash St Apt 2,Portland,OR,97233-4991,5032677990,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
,10457 NE Hoyt St,Portland,OR,97220-4018,5038532854,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
,1324 SE 88th Ave,Portland,OR,97216-1810,9718019038,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
,3057 SE 89th Ave Apt 1,Portland,OR,97266-1477,5034646810,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
,10952 SW Capitol Hwy,Portland,OR,97219-8652,5037374246,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
,12412 NE Multnomah St,Portland,OR,97230-1908,9715067605,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
,6430 SE 128th Ave Apt 6,Portland,OR,97236-4691,9713316387,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
,3350 SE 115th Ave Apt 1,Portland,OR,97266-1771,5038413794,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
,1224 NE 14th Ln,Gresham,OR,97030-4257,5037545951,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
,8513 NE Wygant St,Portland,OR,97220-4772,5038751625,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
,5624 SE 137th Ave,Portland,OR,97236-3873,5037190826,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
,12427 SE Cora St,Portland,OR,97236-3776,9714078666,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
,3119 SE Powell Valley Rd,Gresham,OR,97080-1457,5037026449,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
,1138 SW 5th Way,Troutdale,OR,97060-1545,5038332105,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
Kare'n 4 Kids,15007 SE Powell Bl. # 9,Portland,OR,,5039337702,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
MY Bundle of Joy - Alberta Park,6643 NE 25th Ave,Porltand,OR,97211-5905,5033299473,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,.
,1133 SE Harlow Pl,Troutdale,OR,97060-2174,9712676767,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
Nanny Mac's Healthy In-Home Daycare,1905 NE 62nd Ave,Portland,OR,97213-4153,5034877127,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
"B's Preschool, North House",3167 N Halleck St,Portland,OR,97217-6129,5038033408,Certified,Regulated Family Child Care Home,Certified,10,Unknown,No,No,.
,8410 SE Ramona St Apt C,Portland,OR,97266,5039290086,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
OMO Childcare Center Inc,2650 SE 170th Ave,Portland,OR,97236-1213,5039571258,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Happy Valley Childrens Garden,18201 SE Stark St,Portland,OR,97233-4862,5036604444,Center,Regulated  Center (not HS),Certified,250,Yes,No,No,.
Mt Hood Community College Head Start - Gresham United Methodist,620 NW 8th St,Gresham,OR,97030-6935,,Center,Head Start/Early HS,Certified,20,Unknown,Yes,No,.
The Meadow Day School - Lombard Campus,8649 N Lombard St,Portland,OR,97203-3730,9712805464,Center,Regulated  Center (not HS),Certified,18,Unknown,No,No,.
,9021 SE Victor St,Portland,OR,97266-1464,9715635375,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
Little Stompers Preschool,7500 SW 51st Ave,Portland,OR,97219-1400,9712429477,Certified,Regulated Family Child Care Home,Certified,9,Unknown,No,No,.
Mt Hood Community College Head Start - Sunrise,18965 SE Stark St,Portland,OR,97233,,Center,Head Start/Early HS,Certified,98,Unknown,Yes,No,.
,532 N Bryant St,Portland,OR,97217-1771,9713447968,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
,2022 SW Mawrcrest Court,Gresham,OR,,5034910517,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
,2015 S Troutdale Rd,Troutdale,OR,97060-9444,5159180590,Family,Regulated Family Child Care Home,Register,7,Yes,No,No,.
KEEN Kids Care Center,515 NW 13th Ave,Portland,OR,97209-3000,5037818220,Center,Regulated  Center (not HS),Certified,16,Unknown,No,No,.
Brown Bear Care,3233 NE 12th Ave,Portland,OR,97212-2244,4157132102,Certified,Regulated Family Child Care Home,Certified,8,Unknown,No,No,.
,6430 SE 128th Ave Apt 18,Portland,OR,97236,9713319147,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
,3239 SE 89th Ave,Portland,OR,97266-1910,9715061838,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
,12418 SE Sherman St,Portland,OR,97233-1446,5036801178,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
Brighter Beginnings LLC DBA - The Goddard School,5210 SW Corbett Ave,Portland,OR,97239,5039142000,Center,Regulated  Center (not HS),Certified,172,Unknown,No,No,.
SUN Community School - Glenfair Elementary,15300 NE Glisan St,Portland,OR,97230,5032523479,Center,Exempt Center,Recorded,60,Unknown,No,No,.
Jennie's Place,1324 NE Barnes Court,Gresham,OR,,5036614903,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
Albina Head Start - Tina Clegg Center,1425 NE Dekum St,Portland,OR,97211,5032831268,Center,Head Start/Early HS,Certified,56,Yes,Yes,No,5
Albina Head Start - Richard Brown Center,605 NE Ivy St,Portland,OR,97212,5032873941,Center,Head Start/Early HS,Certified,20,Yes,Yes,No,5
Pocketful Of Posies I,6325 NE 25th Ave,Portland,OR,97211,5032814878,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,.
Violet Garden Waldorf Preschool,818 SE Lambert St,Portland,OR,97202,5032300089,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,2
Trinity Lutheran School Age Child Care,5520 NE Killingsworth St,Portland,OR,97218,5032886403,Center,Regulated  Center (not HS),Certified,20,Yes,No,No,2
SUN Community School - Lent,5105 SE 97th Ave,Portland,OR,97266,5039166322,Center,Exempt Center,Recorded,20,Unknown,No,No,.
,4741 SE Powell Butte Pkwy,Portland,OR,97236,5036216961,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Vermont Hills - St Andrews,3228 SW Sunset Blvd,Portland,OR,97239-1273,5032463274,Center,Regulated  Center (not HS),Certified,65,Yes,No,No,3
The Portland Montessori Collaborative,4817 SW 53rd Ave,Portland,OR,97221,5039727100,Center,Regulated  Center (not HS),Certified,83,Yes,No,No,4
D & D Daycare,7116 SE 86th Ave,Portland,OR,97266-5718,5035390717,Family,Regulated Family Child Care Home,Register,6,Yes,No,No,.
Childpeace Montessori - The Terrace,3120 SE Stark St,Portland,OR,97214,5035354949,Center,Regulated  Center (not HS),Certified,24,Unknown,No,No,.
Cheryl's Daycare,3919 NE 40th Ave,Portland,OR,97212,5032817790,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,3
Gardenia Kids Child Care,5342 SE 136th Ave,Portland,OR,97236,5033817121,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
SUN Community School - Jefferson High,5210 N Kerby Ave,Portland,OR,97217,5039165180,Center,Exempt Center,Recorded,20,Unknown,No,No,.
Vermont Hills - Capitol Hill Elementary School,8401 SW 17th Ave,Portland,OR,97219,5039166311,Center,Regulated  Center (not HS),Certified,145,Unknown,No,No,2
French American International School,8500 NW Johnson St,Portland,OR,97229-6780,5032927776,Center,Regulated  Center (not HS),Certified,165,Unknown,No,No,.
,3139 NE 65th Ave,Portland,OR,97213-4535,7145538063,Family,Regulated Family Child Care Home,Register,4,Unknown,No,No,.
,3704 SE Lambert Street,Portland,OR,,5037759449,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
SUN Community School - Vernon,2044 NE Killingsworth St,Portland,OR,97211,5039166415,Center,Exempt Center,Recorded,150,Unknown,No,No,.
,13141 SE Powell Blvd Unit 23,Portland,OR,97236,5039750663,Family,Regulated Family Child Care Home,Register,8,Yes,No,No,.
,1523 SE 176th Ave,Portland,OR,97233,5039084851,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Owl and the Dove Montessori,6126 NE 12th Ave,Portland,OR,97211,5035220537,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,.
,1345 SE 164th Pl,Portland,OR,97233,5037619222,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Portland Parks & Recreation - Southwest Community Center,6820 SW 45th Ave,Portland,OR,97219,5038232848,Center,Exempt Center,Recorded,72,Unknown,No,No,.
,5325 NE 73rd Ave,Portland,OR,97218,9712228380,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Artistatots,1925 NE 53rd Ave,Portland,OR,97213-2743,5032908719,Center,Exempt Center,Recorded,20,Unknown,No,No,.
,3059 SE 120th Ave,Portland,OR,97266,5039297459,Family,Regulated Family Child Care Home,Register,8,Yes,No,No,.
