OBJECTID,GEOID10,County,WCh18,WOCH18,WHITE_CY,BLACK_CY,AMERIND_CY,ASIAN_CY,PACIFIC_CY,OTHRACE_CY,RACE2UP_CY,DIVINDX_CY,x,y
408,41051006802,Multnomah,141071,115167,3210,25,18,102,7,27,125,23.7,,
409,41051006900,Multnomah,149167,149375,2338,26,7,119,9,21,80,22.7,,
410,41051007000,Multnomah,207708,132024,6819,86,23,1113,10,67,342,37.7,,
411,41051007201,Multnomah,18583,63859,2144,52,21,47,7,89,68,32,,
412,41051008600,Multnomah,45733,53026,2810,229,69,590,12,404,289,69.9,,
413,41051008902,Multnomah,69412,73485,3022,150,37,382,22,317,145,56.9,,
414,41051008901,Multnomah,70884,79821,7135,365,75,1432,39,269,409,51.8,,
415,41051009201,Multnomah,31703,52131,5622,681,104,819,80,781,428,67.2,,
416,41051008301,Multnomah,26614,33523,2074,418,79,1223,71,320,245,76.3,,
417,41051008302,Multnomah,51000,57443,2698,197,60,575,23,390,178,67.8,,
418,41051008400,Multnomah,25398,44211,3029,312,46,613,41,405,207,66.6,,
419,41051008500,Multnomah,33614,66000,2950,202,54,578,33,375,237,65.8,,
420,41051008700,Multnomah,39324,55833,3546,95,42,449,16,244,239,52.4,,
421,41051009000,Multnomah,37591,46068,6285,614,132,1092,148,985,504,69.6,,
422,41051009102,Multnomah,54020,64395,4492,282,50,973,57,416,333,62.1,,
423,41051009202,Multnomah,45053,46000,3189,325,63,492,27,440,236,66.7,,
424,41051009603,Multnomah,42008,60867,2651,147,51,195,40,542,167,67.4,,
425,41019050002,Douglas,38594,70464,6467,24,156,39,9,135,206,25.8,,
426,41019040000,Douglas,27656,43000,2470,6,56,22,6,40,98,23.7,,
427,41019070000,Douglas,61542,62898,5075,13,62,36,0,42,114,16.1,,
428,41019180000,Douglas,44412,46411,4427,14,119,39,5,52,230,24.2,,
431,41019100000,Douglas,38242,40703,3035,27,76,11,7,30,85,20.7,,
432,41019170000,Douglas,53529,48657,3676,16,86,26,10,15,176,20.2,,
434,41051009302,Multnomah,35352,61098,2975,344,41,485,31,268,255,64.4,,
435,41051009803,Multnomah,27773,60556,5194,262,90,535,36,651,340,61.6,,
436,41051009903,Multnomah,100714,83542,5056,96,40,692,16,112,176,38.6,,
437,41051010200,Multnomah,59368,71500,4267,271,64,533,51,672,267,63.7,,
438,41051010304,Multnomah,38920,58839,2827,183,108,157,25,1157,246,80.5,,
439,41051010306,Multnomah,68281,68361,3940,111,62,250,8,183,210,43.9,,
440,41051010402,Multnomah,93307,79167,5626,63,32,196,24,178,243,32.6,,
441,41051010407,Multnomah,69950,68750,4767,114,48,110,9,418,273,49.7,,
442,41051009400,Multnomah,63930,62177,5183,311,52,668,56,233,227,47.8,,
443,41051009501,Multnomah,29777,81250,2743,704,47,718,64,357,221,71.4,,
444,41051009701,Multnomah,32983,43176,3782,350,86,596,41,627,306,69.1,,
445,41051010408,Multnomah,53944,37102,5191,64,69,128,10,514,267,51.3,,
446,41051007100,Multnomah,84000,99049,2513,11,76,57,6,65,89,28.7,,
447,41051009301,Multnomah,26775,36837,3845,574,119,325,40,901,365,75.8,,
448,41051010002,Multnomah,66644,72222,4220,136,58,299,17,222,265,47.6,,
449,41051010305,Multnomah,65833,66042,3672,47,36,109,29,120,148,32.6,,
450,41051009101,Multnomah,39514,65205,3712,363,65,586,83,557,320,68.9,,
451,41051009804,Multnomah,30855,59877,2439,143,35,215,16,204,166,55.3,,
452,41051010100,Multnomah,47643,49074,7256,255,99,353,47,785,419,54.6,,
453,41051009606,Multnomah,31360,45194,3233,362,116,274,149,1155,317,81.3,,
454,41051009702,Multnomah,41789,59531,5752,260,87,502,89,1155,337,69.2,,
455,41051009801,Multnomah,26923,37216,3175,333,55,111,58,735,251,75.4,,
456,41051010001,Multnomah,24122,49524,4253,204,96,155,39,768,261,66.9,,
457,41051010303,Multnomah,45477,82340,4514,143,58,345,25,375,276,53.6,,
458,41051010405,Multnomah,41827,59414,4686,145,104,197,30,597,262,59.9,,
459,41051010409,Multnomah,68571,85460,6556,67,47,198,55,353,284,38.2,,
460,41051006404,Multnomah,63341,104541,3196,66,16,199,9,42,150,31.2,,
461,41051009905,Multnomah,65906,94875,2712,44,23,146,18,114,167,41.9,,
462,41051009907,Multnomah,52647,77625,4288,73,57,136,8,434,244,50,,
463,41051010411,Multnomah,51490,52835,2266,45,43,76,9,410,134,60.6,,
464,41051006403,Multnomah,47813,101442,3075,305,35,269,33,94,217,48.9,,
465,41051010410,Multnomah,38068,62838,3581,125,71,83,27,482,234,58.1,,
466,41055950100,Sherman,63125,54327,1700,4,29,3,1,54,32,22.7,,
467,41051002903,Multnomah,23795,64191,3390,504,79,755,40,194,364,63.5,,
468,41051007800,Multnomah,46071,63594,1261,145,23,131,38,115,83,60.3,,
469,41051008800,Multnomah,51518,59110,3058,124,58,351,9,294,210,56.7,,
470,41051000100,Multnomah,76827,73417,5498,38,54,169,7,69,266,26.3,,
471,41051000200,Multnomah,81098,89231,5085,72,48,188,12,98,230,29.3,,
472,41051000301,Multnomah,88700,76141,4356,127,41,331,7,68,257,36.2,,
473,41051009904,Multnomah,56494,61625,2958,113,124,116,7,203,213,51.6,,
474,41051009906,Multnomah,103092,67316,3172,59,24,135,6,101,134,35.2,,
475,41051010600,Multnomah,21875,26875,2711,337,84,163,6,71,141,47.6,,
476,41051002303,Multnomah,34000,69881,1624,238,26,69,6,47,109,46.8,,
477,41051002203,Multnomah,66979,65625,2316,720,39,68,6,82,170,55.4,,
478,41031960100,Jefferson,42031,60875,1870,54,115,12,0,141,42,43.7,,
479,41031940000,Jefferson,30521,51667,89,2,2863,1,0,20,165,30.5,,
480,41031960302,Jefferson,38553,54167,3540,19,124,19,9,395,137,52.8,,
481,41031960202,Jefferson,38550,51900,4172,44,341,47,12,685,269,65.6,,
482,41031960201,Jefferson,37423,56799,2148,30,183,27,9,849,175,79.9,,
483,41031960301,Jefferson,65490,55146,3387,12,46,9,1,27,78,13.5,,
484,41051000302,Multnomah,139519,94750,6439,34,40,226,7,29,182,19.9,,
485,41051000401,Multnomah,65843,89625,3063,27,21,201,1,26,143,28.8,,
486,41051000402,Multnomah,52713,58047,2998,35,37,324,14,75,198,41.6,,
487,41051000501,Multnomah,50500,55911,3041,58,43,294,0,100,194,43,,
488,41051000502,Multnomah,50172,54583,3375,116,54,518,84,271,214,56.1,,
489,41051000601,Multnomah,31338,54018,3399,256,87,861,29,511,324,70.7,,
490,41051000602,Multnomah,36944,47554,3176,233,76,795,33,465,294,69.9,,
491,41051000701,Multnomah,44306,57171,3215,119,34,626,25,110,161,48.9,,
493,41037960100,Lake,36250,30833,2568,10,63,8,0,55,129,24.3,,
494,41043030600,Linn,55547,58188,6395,43,66,34,8,223,222,27.7,,
495,41043030300,Linn,73594,65213,2206,16,30,4,0,24,91,18.2,,
496,41043020100,Linn,62500,77561,8381,64,146,128,6,317,310,31.5,,
497,41043020200,Linn,39295,60430,1613,7,15,36,8,28,59,25.8,,
498,41043030700,Linn,54336,65872,3754,6,34,46,4,119,126,25,,
499,41043020300,Linn,74231,82270,6519,43,46,167,9,237,250,31.1,,
500,41043020600,Linn,54196,59492,7762,76,86,148,23,402,354,39,,
501,41043030100,Linn,73646,49000,5649,23,93,31,7,91,177,19.5,,
502,41043030500,Linn,60156,75270,3960,32,37,25,2,53,131,19.5,,
503,41043030902,Linn,55294,59005,6447,36,109,58,4,141,290,25.6,,
504,41043020500,Linn,45461,62768,3385,27,50,75,8,296,166,46.4,,
505,41043030401,Linn,59363,45481,6000,21,95,36,10,65,194,19.6,,
506,41043030903,Linn,40313,43000,5830,26,68,70,9,114,192,22.8,,
507,41043030200,Linn,77725,62981,6338,30,92,51,25,126,192,23.3,,
508,41043020400,Linn,34393,36724,3596,40,87,34,6,230,182,42.5,,
509,41043030800,Linn,35385,56071,7231,42,130,75,12,175,262,26.5,,
510,41043030402,Linn,55139,63869,6299,22,93,69,11,67,218,21.1,,
511,41043030904,Linn,53529,58095,3602,22,62,77,1,79,173,27.1,,
512,41051000702,Multnomah,55125,53654,3456,169,71,762,35,161,264,55.9,,
513,41051000801,Multnomah,47348,65313,3755,76,33,364,2,78,214,37.8,,
514,41051000802,Multnomah,41661,70125,3633,155,54,297,27,169,219,46.2,,
515,41051000901,Multnomah,65347,65298,3562,37,18,224,3,58,165,29.5,,
516,41051000902,Multnomah,23467,54150,3307,293,34,417,15,112,228,51,,
517,41051001000,Multnomah,64000,64792,4803,101,44,203,10,72,271,31.8,,
518,41051001101,Multnomah,39306,65000,1862,88,27,59,4,38,100,34.6,,
519,41051001102,Multnomah,89955,40417,1201,5,22,92,0,11,44,28.6,,
520,41051001201,Multnomah,55500,50924,4568,93,42,132,2,68,231,29.2,,
521,41043020700,Linn,35833,42500,4733,69,72,44,18,386,238,44.3,,
522,41043020802,Linn,31193,38194,4798,101,96,53,19,707,273,58.9,,
523,41043020801,Linn,11319,48370,2058,23,52,26,3,224,84,49.8,,
524,41005022907,Clackamas,53790,61607,2834,34,44,17,17,1116,142,76.4,,
525,41005022904,Clackamas,61579,49545,2830,23,53,39,10,485,109,58.4,,
526,41005022905,Clackamas,74949,92841,3659,21,57,66,2,259,121,40.9,,
527,41005023002,Clackamas,39917,80391,3322,13,33,31,5,50,106,20.7,,
528,41005023001,Clackamas,46806,97617,3209,26,39,29,1,32,108,18.9,,
529,41005023403,Clackamas,60988,61220,4497,22,53,72,11,82,194,27,,
530,41005023404,Clackamas,61595,67940,5582,22,92,59,8,115,184,26,,
531,41005023902,Clackamas,53672,43355,4203,25,53,36,4,460,141,45.8,,
532,41005023901,Clackamas,52601,70833,4463,29,50,52,17,302,154,41.1,,
533,41005024303,Clackamas,77301,70217,2946,5,56,18,2,90,94,26.8,,
534,41005024304,Clackamas,63214,61568,2332,1,15,25,4,33,74,20,,
535,41067031909,Washington,103872,90106,3720,69,23,621,18,52,290,44.3,,
536,41067031812,Washington,66216,64873,4345,178,23,608,26,152,308,49.4,,
537,41067031912,Washington,78375,85403,3517,45,45,228,16,466,180,56.6,,
538,41067031616,Washington,80486,51179,2177,68,38,468,14,194,162,60.1,,
539,41067031609,Washington,43141,69145,6188,477,86,920,53,644,472,64,,
540,41067032700,Washington,97250,84427,4452,15,51,105,17,107,130,28.9,,
541,41067031509,Washington,79211,82132,2363,90,33,516,14,139,180,56.9,,
542,41067031514,Washington,119250,94625,4603,143,21,1622,26,112,296,55,,
543,41067031513,Washington,134972,103583,6252,168,22,4762,5,113,443,58.2,,
544,41067030101,Washington,91010,88333,6537,141,33,616,20,129,278,34.8,,
545,41067030102,Washington,161250,91680,4292,100,15,508,14,143,236,41.5,,
546,41067031615,Washington,58977,71188,3755,66,59,505,52,854,240,72.2,,
547,41067032408,Washington,93357,85486,4524,140,41,1273,16,132,326,56.1,,
548,41067032608,Washington,107750,90893,1801,43,16,232,8,78,97,48.9,,
549,41067032610,Washington,83382,98720,2347,41,29,192,4,173,108,52.6,,
550,41067031805,Washington,130385,82095,5605,121,33,742,33,206,334,46,,
551,41067031814,Washington,107386,89073,3257,41,10,588,7,70,183,43.1,,
552,41067032107,Washington,72563,85652,1723,14,13,46,14,73,59,35.8,,
553,41067032104,Washington,91250,89539,4393,28,17,94,30,140,172,27.7,,
554,41067032001,Washington,56026,86167,4658,87,28,176,44,370,251,46.9,,
555,41067032410,Washington,73958,72396,2549,44,105,188,9,862,183,78.9,,
556,41067032502,Washington,67870,75882,2109,58,42,214,20,361,137,66.9,,
557,41067032501,Washington,27151,38750,2411,98,76,77,5,687,172,75.5,,
558,41067032409,Washington,20048,49074,3096,60,125,63,17,1642,253,78.5,,
559,41067033302,Washington,92332,78906,4564,49,31,91,15,147,169,31.4,,
560,41067032606,Washington,47089,66875,5002,74,105,130,50,954,263,67.7,,
561,41067031614,Washington,65774,54848,3073,155,56,809,24,424,273,69.6,,
562,41067032407,Washington,72004,80903,3780,96,25,688,21,286,264,57.1,,
563,41067032108,Washington,83611,94917,3657,46,55,145,21,169,184,42.4,,
564,41067033301,Washington,78207,58125,4741,44,66,103,16,410,209,49.3,,
565,41067031815,Washington,112704,97314,4771,139,12,1045,13,151,312,49.3,,
566,41067031617,Washington,42019,89659,3201,208,25,916,22,239,332,65,,
567,41067032800,Washington,64479,65833,1134,7,6,9,0,55,27,28.7,,
568,41067032110,Washington,100602,76250,3174,161,71,83,0,56,59,30.5,,
569,41067032109,Washington,149219,109583,2709,41,8,150,10,23,119,28.8,,
570,41067032003,Washington,41552,34156,2685,62,56,148,63,633,206,72,,
571,41067032004,Washington,46744,96384,1623,29,8,53,3,175,84,49.1,,
572,41067032005,Washington,32560,74688,2646,89,42,81,114,1143,178,80.4,,
573,41067030806,Washington,83393,108913,2011,51,12,186,38,247,133,59,,
574,41067032607,Washington,81563,107692,2642,92,19,542,8,49,101,46.2,,
575,41067032609,Washington,98929,76250,1650,34,22,370,1,67,95,52.6,,
576,41067033101,Washington,39279,49348,2503,23,27,40,3,213,107,45.2,,
577,41067033102,Washington,58267,54167,2365,8,64,48,8,641,111,69.8,,
578,41067032901,Washington,50911,48306,3883,69,77,181,3,1259,239,76.1,,
579,41005022103,Clackamas,81563,67366,4392,96,29,972,26,115,287,49.2,,
580,41005020304,Clackamas,103713,99730,4349,59,17,668,8,51,171,37,,
581,41005020303,Clackamas,87054,112963,4733,74,28,366,25,49,203,31.2,,
582,41005021801,Clackamas,71940,84943,5145,33,49,138,4,94,170,24.8,,
583,41005021802,Clackamas,37833,64236,3616,73,37,88,18,247,177,46.2,,
584,41005020503,Clackamas,135521,127596,2001,10,15,60,0,19,63,20.6,,
585,41005023201,Clackamas,110054,76016,4010,20,28,73,7,58,84,18.8,,
586,41005024100,Clackamas,60144,63667,4751,14,39,18,3,37,113,14.6,,
587,41005023500,Clackamas,66821,76758,5266,16,73,75,3,249,154,29.3,,
588,41005023600,Clackamas,83750,78088,3625,11,29,36,3,74,101,20,,
589,41005024200,Clackamas,55426,59097,5399,35,54,56,7,133,150,23.6,,
590,41005024000,Clackamas,69081,63214,2682,7,15,10,2,31,50,15.1,,
591,41005024302,Clackamas,80205,83173,4540,20,39,25,4,232,102,29.6,,
592,41005023700,Clackamas,79583,79792,4431,19,48,35,2,39,125,16.3,,
593,41005020100,Clackamas,212917,108000,3523,34,17,155,1,41,119,25.5,,
594,41005020200,Clackamas,128800,82321,5825,31,17,229,9,57,182,22.2,,
595,41005020302,Clackamas,112841,70516,3058,40,20,245,4,48,147,34.1,,
596,41067033200,Washington,21518,42308,4371,60,81,326,22,1414,329,76.2,,
597,41005020401,Clackamas,95341,70962,4761,24,25,213,5,42,191,26.1,,
598,41005020404,Clackamas,125954,119028,3566,13,15,129,2,33,111,21.4,,
599,41005020501,Clackamas,130927,97321,6196,86,23,381,14,97,229,28.8,,
600,41005020504,Clackamas,126538,99375,5772,24,34,281,4,32,175,21.8,,
601,41005020600,Clackamas,115163,118561,7398,87,18,307,4,88,288,25.3,,
602,41005020700,Clackamas,109405,102885,3541,13,10,100,5,59,131,23.8,,
603,41067031504,Washington,94216,86667,5309,94,47,386,32,156,287,37.7,,
604,41067031611,Washington,83347,90500,4019,195,25,2248,12,285,288,64.6,,
605,41067031705,Washington,44531,51750,3250,156,75,303,35,991,251,76.2,,
606,41067031610,Washington,59205,70601,5634,209,74,932,46,644,378,63.2,,
607,41067031511,Washington,110074,98988,2330,45,19,421,1,145,168,52.4,,
608,41067031403,Washington,62891,67917,3679,56,63,288,26,569,278,62.6,,
609,41067032103,Washington,100906,93095,8928,94,64,337,25,281,390,33.3,,
610,41067031612,Washington,52639,99107,2204,133,20,443,11,239,271,65,,
611,41005020800,Clackamas,45417,66643,3478,44,61,93,15,61,121,27,,
612,41005020900,Clackamas,43274,60144,3359,96,44,62,10,75,161,31.3,,
613,41005021000,Clackamas,71750,65563,4098,53,89,89,6,118,156,33.2,,
614,41005021100,Clackamas,46638,66250,4869,49,52,162,20,212,198,35.8,,
615,41005021200,Clackamas,29549,59000,3437,76,57,70,3,135,138,36.5,,
616,41005021500,Clackamas,61094,88750,4451,59,35,223,11,79,175,30.3,,
617,41067030300,Washington,102303,122100,4250,38,13,168,7,46,153,22.5,,
618,41067030401,Washington,39663,72917,3688,76,21,159,37,227,203,42.7,,
619,41067030402,Washington,141019,69129,3798,92,29,187,17,219,198,42,,
620,41067030501,Washington,72652,67955,4779,64,24,168,43,250,209,36.8,,
621,41067030600,Washington,97443,84764,4468,82,39,223,51,187,230,39.8,,
622,41067031512,Washington,97917,95750,4896,116,17,1937,38,149,327,55.9,,
623,41067031300,Washington,39069,55352,4927,205,71,491,41,1152,414,74.4,,
624,41005021601,Clackamas,47459,63835,4557,141,99,200,27,502,283,56.5,,
625,41005021602,Clackamas,43399,76667,4138,113,64,172,11,385,317,53.4,,
626,41005022101,Clackamas,54519,67614,5783,93,73,166,11,285,279,39.8,,
627,41005022201,Clackamas,30408,42768,3310,216,73,226,48,647,263,71.6,,
628,41005022602,Clackamas,77368,84556,4069,14,32,94,4,74,99,20.5,,
629,41005022400,Clackamas,60994,63879,3720,24,43,39,10,48,145,23.7,,
630,41067031404,Washington,60765,79653,3687,66,41,211,8,509,198,57.4,,
631,41067031402,Washington,26295,41094,1847,111,40,300,14,436,186,75.6,,
632,41067031806,Washington,83281,94716,4094,152,32,538,10,410,259,56.3,,
633,41067031807,Washington,96063,83000,2843,66,33,313,17,206,118,49.6,,
634,41067031904,Washington,99632,84135,2445,33,16,177,7,107,94,38.1,,
635,41067032406,Washington,76451,84057,6379,149,98,872,33,737,472,61.3,,
636,41067032200,Washington,94554,85225,7172,51,36,300,8,204,285,31,,
637,41067032300,Washington,77176,73750,3482,88,56,461,60,416,211,62.5,,
638,41067032603,Washington,86125,81639,6070,101,43,369,29,342,286,43.9,,
639,41067032404,Washington,64971,86667,6027,67,56,341,45,620,320,54.7,,
640,41067032503,Washington,76818,75764,2728,47,43,192,14,387,158,62.2,,
641,41067032604,Washington,67576,55625,4482,83,84,174,13,997,289,68.4,,
642,41067031606,Washington,52574,59056,3876,296,80,565,23,741,366,72,,
643,41067031613,Washington,42604,59942,4564,361,87,601,31,925,414,72.6,,
644,41005022500,Clackamas,49583,69534,7075,43,89,77,19,202,307,30.6,,
645,41005022901,Clackamas,73750,79500,3126,19,39,64,2,86,99,26.7,,
646,41005022702,Clackamas,124271,111538,6048,48,31,301,6,70,209,24.1,,
647,41005023202,Clackamas,90789,88050,5882,59,35,336,15,93,210,29.3,,
648,41005021700,Clackamas,52875,64091,5371,94,64,90,17,228,212,34.1,,
649,41005021900,Clackamas,40649,49917,3047,31,40,57,15,173,121,39.4,,
650,41005022000,Clackamas,81417,66327,5774,55,46,117,33,132,242,28.7,,
651,41005021400,Clackamas,56570,77241,4306,74,34,102,6,158,162,32.1,,
652,41067031706,Washington,37319,48889,3218,207,71,490,31,878,253,76.6,,
653,41067031703,Washington,57589,83542,3488,73,55,360,22,553,242,64.6,,
654,41067031704,Washington,73345,76107,6378,200,81,592,23,660,371,58.3,,
655,41067031804,Washington,71667,102529,4429,146,33,725,10,398,273,58.1,,
656,41067030200,Washington,98438,84464,5257,110,31,234,18,123,216,30.1,,
657,41067030900,Washington,45931,48711,3588,209,49,193,165,838,251,73,,
658,41005021300,Clackamas,60534,74700,5259,59,55,116,21,195,217,35,,
659,41005023100,Clackamas,100729,91964,5706,30,26,130,12,69,136,17.8,,
660,41005023300,Clackamas,83306,83106,4585,26,37,115,1,95,118,23.1,,
661,41005023401,Clackamas,67054,71569,3889,11,57,84,4,257,107,36.3,,
662,41005022800,Clackamas,83707,106625,3806,9,20,41,2,80,37,16.3,,
663,41005023800,Clackamas,72332,65850,5966,19,62,73,13,335,117,32.5,,
664,41005980000,Clackamas,0,0,208,22,11,3,15,15,23,59.6,,
665,41005020505,Clackamas,130341,69000,2612,14,13,74,13,12,56,16,,
666,41005020403,Clackamas,193500,92292,3361,16,14,127,6,12,84,17.6,,
667,41005022107,Clackamas,35682,81354,3038,121,44,195,18,164,192,49.1,,
668,41005022105,Clackamas,70313,94043,4996,113,62,757,36,154,240,45,,
669,41005022108,Clackamas,19803,43047,2328,39,64,24,6,256,109,52.6,,
670,41067031003,Washington,100938,77222,5975,158,49,475,48,354,357,46.8,,
671,41067031004,Washington,75241,75739,5692,92,20,559,63,222,352,42.3,,
672,41067031005,Washington,37175,47019,3920,130,70,247,32,1066,255,74.8,,
673,41067031006,Washington,34241,67417,4605,188,57,384,39,661,312,62.9,,
674,41067031100,Washington,40563,62216,1809,91,22,99,4,532,171,75.6,,
675,41005022206,Clackamas,99659,73576,4832,114,35,1178,10,129,266,48.7,,
676,41005022205,Clackamas,93833,110074,2706,34,12,409,25,114,102,44.8,,
677,41005022208,Clackamas,96740,82639,4820,105,27,1104,6,57,261,44.5,,
678,41005022207,Clackamas,117963,104464,3979,75,19,818,7,37,187,42,,
679,41005022301,Clackamas,75929,79394,3576,25,46,46,15,41,91,21.7,,
680,41005022708,Clackamas,87353,91635,3326,25,36,77,29,310,122,50.5,,
681,41005022302,Clackamas,70273,74464,4838,16,41,122,12,90,170,25.6,,
682,41005022606,Clackamas,75000,82250,4119,34,20,96,0,81,120,23.5,,
683,41067031200,Washington,30806,54038,4685,337,89,433,34,1552,311,77.5,,
684,41067031507,Washington,115685,111016,4125,62,13,621,13,172,213,46.7,,
685,41067031508,Washington,146411,130677,6032,53,20,1209,13,90,332,41.9,,
686,41067030502,Washington,86685,78542,3293,109,25,148,19,118,154,36.5,,
687,41067032902,Washington,46466,62667,4883,82,106,102,9,2188,277,79.5,,
688,41067030803,Washington,80556,62885,4189,75,23,270,15,117,154,33.1,,
689,41067031506,Washington,92552,78750,3154,70,22,276,11,182,172,45,,
690,41023960200,Grant,48553,42930,5156,17,65,21,5,67,111,16.1,,
691,41023960100,Grant,33182,37431,2001,3,26,6,3,16,71,17.1,,
692,41005022605,Clackamas,51026,64071,6622,70,70,144,13,216,196,29.9,,
693,41005022603,Clackamas,58438,75347,2826,25,28,60,5,151,109,42.4,,
694,41005022707,Clackamas,56563,112317,3440,35,32,162,21,136,167,38.4,,
695,41005022710,Clackamas,63611,61029,2281,33,33,184,12,191,108,51.2,,
696,41005024400,Clackamas,78049,73750,5340,84,51,317,25,300,279,45.7,,
697,41005022906,Clackamas,61181,71917,2564,4,33,17,3,266,53,42.6,,
698,41067030700,Washington,31140,54583,1168,35,29,86,24,154,50,63.7,,
699,41067030801,Washington,73125,74408,5605,118,60,281,93,531,286,55.2,,
700,41067033000,Washington,79286,78500,4959,19,46,104,7,238,139,33.5,,
701,41067033400,Washington,75000,111083,2231,4,17,7,1,41,52,18.5,,
702,41067033500,Washington,82292,85750,3759,16,36,47,5,50,132,22.3,,
703,41067033600,Washington,65515,100104,2142,3,9,27,1,44,58,21.4,,
704,41067031911,Washington,68750,87674,3912,95,27,457,25,152,247,44.7,,
705,41067031910,Washington,103500,100926,6340,139,74,955,31,245,347,46.4,,
706,41067030805,Washington,98164,87167,3351,52,31,135,15,78,109,30.8,,
707,41067031907,Washington,57367,66071,4811,95,41,239,14,199,152,37.5,,
708,41067031908,Washington,113807,85417,5334,137,37,974,16,134,275,46.2,,
709,41067031813,Washington,121696,73636,4385,114,34,916,6,89,274,45.5,,
710,41047010801,Marion,58640,68421,5173,38,96,44,15,306,245,38.9,,
711,41047010802,Marion,50287,65625,5448,14,106,52,20,400,195,42.3,,
712,41047010702,Marion,48194,69375,5920,13,65,43,10,141,172,22.7,,
713,41047001501,Marion,55064,81719,3854,35,53,70,8,214,203,39.5,,
714,41047010501,Marion,81938,71339,5137,11,49,67,6,103,112,20.6,,
715,41047001200,Marion,40526,73594,3080,71,55,73,25,141,153,39.4,,
716,41047001300,Marion,59625,69500,3499,37,49,78,23,102,181,34.1,,
717,41047010400,Marion,53173,50714,4103,29,56,50,23,783,166,63.6,,
718,41047000900,Marion,39467,46272,4539,81,94,126,22,724,344,62.5,,
719,41047001601,Marion,34000,79167,5290,112,96,446,51,1447,368,73.3,,
720,41047001702,Marion,53297,53750,3738,48,108,255,89,1283,253,78.1,,
721,41047002800,Marion,73594,73882,3658,25,36,87,12,132,142,31.1,,
722,41047001703,Marion,53000,70972,3387,36,54,100,37,569,164,61.6,,
723,41047001603,Marion,47695,68092,4745,77,112,380,34,1270,357,73.9,,
724,41047002301,Marion,65729,80104,2812,25,27,80,11,85,140,33.5,,
725,41047010303,Marion,45938,62614,3160,23,137,28,1,1363,172,79,,
726,41047001000,Marion,24894,34120,2790,100,81,45,84,554,229,68.1,,
727,41047001801,Marion,21109,51276,4344,109,139,112,77,1532,262,76.8,,
728,41047010304,Marion,37642,51000,3279,60,275,33,8,2528,324,83.7,,
729,41047010502,Marion,51447,61689,5229,26,56,47,5,339,175,38.6,,
730,41047010100,Marion,69821,61250,1230,0,10,8,0,177,30,55.3,,
731,41047001503,Marion,36625,34500,3882,57,84,53,56,1164,249,73.8,,
732,41047001701,Marion,33378,37350,4047,84,105,216,153,1403,337,79.3,,
733,41047000200,Marion,64063,79464,2829,49,69,129,10,108,162,40.4,,
734,41047000600,Marion,41686,47585,4107,69,84,69,32,470,205,52,,
735,41047001100,Marion,47765,77240,4192,100,79,50,35,245,203,41.4,,
736,41047000300,Marion,32621,45144,3701,84,95,39,76,809,261,69.2,,
737,41047002700,Marion,64583,73418,7980,31,83,138,8,172,254,25.4,,
738,41047001802,Marion,44410,52532,4981,164,126,168,201,1544,485,76.5,,
739,41047010503,Marion,52218,62955,3448,9,26,35,3,264,103,38.9,,
740,41047002000,Marion,64864,77589,7974,127,72,379,34,313,344,37.5,,
741,41047001803,Marion,36343,41313,4098,242,104,93,23,613,155,61,,
742,41047010701,Marion,52534,67647,6938,42,108,61,13,480,302,42.8,,
743,41047002400,Marion,161303,97000,3237,25,27,118,12,31,126,25,,
744,41047001502,Marion,48117,55568,4044,53,69,56,71,750,274,65.1,,
745,41047000400,Marion,27760,37225,3419,59,141,47,57,924,347,75.6,,
746,41047001602,Marion,33550,41766,5480,135,192,254,150,2564,479,82.3,,
747,41047001604,Marion,33040,46250,5221,121,170,346,218,1946,414,80,,
748,41047010600,Marion,55521,61250,2295,5,48,14,2,18,125,25.1,,
749,41047002600,Marion,42273,61809,1931,1,6,12,1,89,37,27.8,,
750,41047010305,Marion,39295,44000,2845,96,142,28,13,1525,150,81.3,,
751,41047000502,Marion,19744,51181,3047,91,104,55,133,1560,298,83.1,,
752,41047001401,Marion,41839,67917,4912,46,43,134,17,372,216,45.8,,
753,41047002502,Marion,62955,51773,3953,17,42,62,9,900,140,63.8,,
754,41047000501,Marion,44449,66212,2381,53,73,66,72,943,192,80,,
755,41047002102,Marion,59931,52632,5324,90,91,163,55,231,218,37.8,,
756,41047002303,Marion,73443,61543,6239,90,82,230,75,250,284,36.8,,
757,41047002202,Marion,78125,81912,5588,53,68,132,71,112,251,30.5,,
758,41047002101,Marion,36250,76813,2002,31,53,29,15,75,89,37.1,,
759,41047002501,Marion,64250,60349,7914,51,99,256,26,395,322,38.2,,
760,41047002304,Marion,93854,75156,4487,89,49,232,13,95,215,34.9,,
761,41047010202,Marion,53516,58060,5730,37,131,69,7,1297,227,65.4,,
762,41047010307,Marion,72875,56852,4661,22,49,97,3,886,192,63.3,,
763,41047010201,Marion,83750,80313,2332,15,23,13,3,206,79,42.2,,
764,41047002201,Marion,73684,72596,1844,12,23,41,3,52,61,30.3,,
765,41069960100,Wheeler,41250,45000,1378,0,18,8,2,40,45,21.7,,
766,41047010306,Marion,45547,46053,5105,39,250,65,8,3204,338,82.9,,
767,41047001402,Marion,55057,64914,4791,67,98,79,47,364,291,46.3,,
768,41047000701,Marion,30250,37984,5716,475,160,154,47,1399,305,72.6,,
